NAME,LATITUDE,LONGITUDE,AMOUNT
ADVENTIST UNIVERSITY OF HEALTH SCIENCES,28.57614169,-81.36768715,0
ADVERTISING ART EDUCATIONAL SERVICES DBA SCHOOL OF ADVERTISING ART,39.6813053,-84.13426862,0
AESTHETIC SCIENCE INSTITUTE,42.761904,-73.794885,0
AESTHETICS INSTITUTE OF COSMETOLOGY,39.15332411,-77.20391467,0
AESTHETICS INSTITUTE OF COSMETOLOGY - WINCHESTER,39.18750253,-78.14655339,0
AGNES SCOTT COLLEGE,33.76929104,-84.29542845,0
AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,25.79000765,-80.18839025,0
AIKEN SCHOOL OF COSMETOLOGY AND BARBERING,33.55954467,-81.71728049,0
AIKEN TECHNICAL COLLEGE,33.53383308,-81.84166626,0
AILANO SCHOOL OF COSMETOLOGY,42.07113817,-71.04405443,0
AIMS COMMUNITY COLLEGE,40.40903694,-104.7643349,0
AIR FORCE INSTITUTE OF TECHNOLOGY-GRADUATE SCHOOL OF ENGINEERING & MANAGEMENT,39.7828821,-84.08256415,0
AKRON SCHOOL OF PRACTICAL NURSING,41.08558124,-81.57676026,0
ALABAMA A & M UNIVERSITY,34.783368,-86.568502,0
ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE,31.206294,-85.340805,0
ALABAMA SCHOOL OF NAIL TECHNOLOGY & COSMETOLOGY,31.50997,-87.893386,0
ALABAMA SOUTHERN COMMUNITY COLLEGE,31.48892453,-87.32635197,0
ALABAMA STATE COLLEGE OF BARBER STYLING,33.643522,-86.81053,0
ALABAMA STATE UNIVERSITY,32.36431682,-86.29567689,0
ALAMANCE COMMUNITY COLLEGE,36.066683,-79.357657,0
ALAMO CITY BARBER COLLEGE,29.52716936,-98.63949783,0
ALAMO COMMUNITY COLLEGE DISTRICT CENTRAL OFFICE,29.42701663,-98.50250414,0
ALASKA BIBLE COLLEGE,61.59859611,-149.1118024,0
ALASKA CAREER COLLEGE,61.18144327,-149.8569536,0
ALASKA CHRISTIAN COLLEGE,60.49045918,-151.1360055,0
ALASKA PACIFIC UNIVERSITY,61.19123518,-149.8042419,0
ALBANY BOCES-ADULT PRACTICAL NURSING PROGRAM,42.73719466,-73.82333052,0
ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,42.6519157,-73.77860736,0
ALBANY LAW SCHOOL,42.65136879,-73.77716385,0
ALBANY MEDICAL COLLEGE,42.65397161,-73.77738808,0
ALBANY STATE UNIVERSITY,31.57189473,-84.14339339,0
ALBANY TECHNICAL COLLEGE,31.55434041,-84.17428388,0
ALBERT I PRINCE TECHNICAL HIGH SCHOOL,41.74114987,-72.706595,0
ALBERTUS MAGNUS COLLEGE,41.33160887,-72.92267052,0
ALBION COLLEGE,42.24460261,-84.74608846,0
ALBRIGHT COLLEGE,40.36133667,-75.9097478,0
ALCORN STATE UNIVERSITY,31.8772156,-91.14285425,0
ALDERSON BROADDUS UNIVERSITY,39.15757106,-80.04934593,0
ALEXANDER ACADEMY,42.587705,-71.769406,0
ALEXANDER PAUL INSTITUTE OF HAIR DESIGN,35.60496244,-77.37169622,0
ALEXANDRIA SCHOOL OF SCIENTIFIC THERAPEUTICS,40.25564049,-85.67418497,0
ALEXANDRIA TECHNICAL & COMMUNITY COLLEGE,45.87291786,-95.37246416,0
ALFRED UNIVERSITY,42.25328867,-77.7875397,0
ALHAMBRA BEAUTY COLLEGE,34.09391605,-118.1290407,0
ALHAMBRA MEDICAL UNIVERSITY,34.08023,-118.148671,0
ALICE LLOYD COLLEGE,37.33582939,-82.8740258,0
ALL BEAUTY COLLEGE-FORT MOHAVE,35.02135484,-114.600955,0
ALL BEAUTY COLLEGE-KINGMAN,35.2397716,-114.0271552,0
ALL BEAUTY COLLEGE-LAKE HAVASU CITY,34.496283,-114.337955,0
ALL-STATE CAREER SCHOOL-ALLIED HEALTH CAMPUS,39.86616072,-75.30214599,0
ALL-STATE CAREER SCHOOL-LESTER,39.86992648,-75.27959509,0
ALL-STATE CAREER SCHOOL-PITTSBURGH,40.358492,-79.93713,0
ALL-STATE CAREER-BALTIMORE,39.26466382,-76.54494197,0
ALLAN HANCOCK COLLEGE,34.9429884,-120.4211143,0
ALLEGANY COLLEGE OF MARYLAND,39.65265764,-78.72976636,0
ALLEGHENY COLLEGE,41.6472682,-80.14576551,0
ALLEGHENY WESLEYAN COLLEGE,40.86722019,-80.86123177,0
ALLEN COLLEGE,42.53008439,-92.34014835,0
ALLEN COUNTY COMMUNITY COLLEGE,37.93805033,-95.39635265,0
ALLEN SCHOOL-BROOKLYN,40.69379716,-73.99146083,0
ALLEN SCHOOL-JAMAICA,40.704694,-73.796295,0
ALLEN SCHOOL-PHOENIX,33.62963512,-112.1174301,0
ALLEN UNIVERSITY,34.01034798,-81.02004515,0
ALLGOOD BEAUTY INSTITUTE,33.157317,-96.804095,0
ALLIANCE COMPUTING SOLUTIONS,40.76159379,-73.83137361,0
ALLIANT INTERNATIONAL UNIVERSITY-SAN DIEGO,32.89705643,-117.0943981,0
ALLIED HEALTH CAREERS INSTITUTE,35.82783038,-86.39151515,0
ALLSTATE HAIRSTYLING & BARBER COLLEGE,41.48403023,-81.70436088,0
ALMA COLLEGE,43.37923636,-84.67007273,0
ALPENA COMMUNITY COLLEGE,45.08164695,-83.44506924,0
ALTIERUS CAREER COLLEGE EVERETT,47.90932131,-122.2201764,0
ALTIERUS CAREER COLLEGE-ARLINGTON,32.7439909,-97.05758597,0
ALTIERUS CAREER COLLEGE-ATLANTA WEST,33.68909859,-84.49665103,0
ALTIERUS CAREER COLLEGE-AUSTIN,30.329638,-97.655317,0
ALTIERUS CAREER COLLEGE-BISSONNET,29.67734395,-95.54500788,0
ALTIERUS CAREER COLLEGE-CHESAPEAKE,36.79028985,-76.22960628,0
ALTIERUS CAREER COLLEGE-COLORADO SPRINGS,38.80709465,-104.7402665,0
ALTIERUS CAREER COLLEGE-COLUMBUS,39.99893484,-82.85271559,0
ALTIERUS CAREER COLLEGE-FORT WORTH SOUTH,32.68696892,-97.32508291,0
ALTIERUS CAREER COLLEGE-HENDERSON,36.037585,-115.046158,0
ALTIERUS CAREER COLLEGE-HOUSTON HOBBY,29.7009126,-95.29047164,0
ALTIERUS CAREER COLLEGE-NORCROSS,33.93412058,-84.15547489,0
ALTIERUS CAREER COLLEGE-ORANGE PARK,30.18886174,-81.70599967,0
ALTIERUS CAREER COLLEGE-SAN ANTONIO,29.48857249,-98.54070864,0
ALTIERUS CAREER COLLEGE-TACOMA,47.24119933,-122.4361573,0
ALTIERUS CAREER COLLEGE-TAMPA,27.99658172,-82.49761578,0
ALTIERUS CAREER COLLEGE-THORNTON,39.86155967,-104.9854413,0
ALTIERUS CAREER COLLEGE-TIGARD,45.4437359,-122.7753565,0
ALTIERUS CAREER COLLEGE-WOODBRIDGE,38.63475019,-77.29595133,0
ALTIERUS CAREER EDUCATION-SOUTH PLAINFIELD,40.5560035,-74.42570414,0
ALTIERUS CAREER EDUCATION-SOUTHFIELD,42.44820642,-83.26139211,0
ALTOONA BEAUTY SCHOOL INC,40.50132844,-78.38824852,0
ALVERNIA UNIVERSITY,40.31002836,-75.93675408,0
ALVERNO COLLEGE,42.98284244,-87.96517439,0
ALVIN COMMUNITY COLLEGE,29.39732309,-95.24088576,0
AMARILLO COLLEGE,35.18840953,-101.8471035,0
AMBERTON UNIVERSITY,32.85993689,-96.65302784,0
AMBIANCE BEAUTY & BARBER ACADEMY INC,28.11753485,-80.67358595,0
AMBRIA COLLEGE OF NURSING,42.07561321,-88.21088786,0
AMERICA EVANGELICAL UNIVERSITY,34.04128586,-118.3087373,0
AMERICAN ACADEMY MCALLISTER INSTITUTE OF FUNERAL SERVICE,40.76903069,-73.99378238,0
AMERICAN ACADEMY OF ACUPUNCTURE AND ORIENTAL MEDICINE,45.01532495,-93.18102544,0
AMERICAN ACADEMY OF ART,41.87711612,-87.62480481,0
AMERICAN ACADEMY OF COSMETOLOGY,30.12375666,-81.79880256,0
AMERICAN ACADEMY OF COSMETOLOGY-DELRAY BEACH,26.46102,-80.119201,0
AMERICAN ACADEMY OF DRAMATIC ARTS-LOS ANGELES,34.095378,-118.343701,0
AMERICAN ACADEMY OF DRAMATIC ARTS-NEW YORK,40.74554519,-73.98484325,0
AMERICAN ACADEMY OF PERSONAL TRAINING,40.722342,-74.002465,0
AMERICAN ACADEMY OF PERSONAL TRAINING-BOSTON CAMPUS,42.35069,-71.076281,0
AMERICAN ADVANCED TECHNICIANS INSTITUTE,25.884901,-80.323025,0
AMERICAN BAPTIST COLLEGE,36.2011546,-86.78930104,0
AMERICAN BAPTIST SEMINARY OF THE WEST,37.86525249,-122.2561486,0
AMERICAN BARBER ACADEMY,40.32226002,-75.93037477,0
AMERICAN BEAUTY ACADEMY,40.04310353,-111.7333087,0
AMERICAN BEAUTY ACADEMY-WEST VALLEY CAMPUS,40.692206,-111.938085,0
AMERICAN BEAUTY COLLEGE,34.06936062,-117.936951,0
AMERICAN BEAUTY SCHOOL,40.83523123,-73.86071022,0
AMERICAN BEAUTY SCHOOLS,25.76153733,-80.32713087,0
AMERICAN BROADCASTING SCHOOL-OKLAHOMA CITY,35.43561858,-97.43662337,0
AMERICAN BROADCASTING SCHOOL-ONLINE PROGRAM,35.43575083,-97.43711785,0
AMERICAN BUSINESS AND TECHNOLOGY UNIVERSITY,39.77912005,-94.81978982,0
AMERICAN CAREER COLLEGE-ANAHEIM,33.84987632,-117.9756439,0
AMERICAN CAREER COLLEGE-LONG BEACH,33.77024575,-118.1901844,0
AMERICAN CAREER COLLEGE-LOS ANGELES,34.07932298,-118.2924815,0
AMERICAN CAREER COLLEGE-LYNWOOD,33.93191883,-118.2011816,0
AMERICAN CAREER COLLEGE-ONTARIO,34.06820414,-117.5838138,0
AMERICAN COLLEGE FOR MEDICAL CAREERS,28.47099,-81.40219,0
AMERICAN COLLEGE OF ACUPUNCTURE AND ORIENTAL MED,29.73574735,-95.52476479,0
AMERICAN COLLEGE OF BARBERING,38.08467786,-85.6700158,0
AMERICAN COLLEGE OF EDUCATION,39.76982363,-86.16004661,0
AMERICAN COLLEGE OF FINANCIAL SERVICES,40.01781786,-75.32856857,0
AMERICAN COLLEGE OF HAIR DESIGN INC,38.71169922,-93.2690929,0
AMERICAN COLLEGE OF HAIRSTYLING-DES MOINES,41.59224844,-93.61019266,0
AMERICAN COLLEGE OF HEALTHCARE SCIENCES,45.48038428,-122.6745329,0
AMERICAN COLLEGE OF HEALTHCARE-HUNTINGTON PARK,33.97898054,-118.2247622,0
AMERICAN COLLEGE OF HEALTHCARE-RIVERSIDE,33.90048712,-117.4938081,0
AMERICAN CONSERVATORY THEATER,37.78737167,-122.4046554,0
AMERICAN EDUCATIONAL COLLEGE,18.39694158,-66.14686604,0
AMERICAN FILM INSTITUTE CONSERVATORY,34.10845986,-118.3099893,0
AMERICAN HAIR ACADEMY,40.962676,-91.524957,0
AMERICAN INDIAN OIC INC,44.96199279,-93.24616615,0
AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE-COLUMBUS,40.1024416,-82.98873294,0
AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE-EAST BRUNSWICK,40.46601774,-74.4072283,0
AMERICAN INSTITUTE OF BEAUTY,27.91507165,-82.74909439,0
AMERICAN INSTITUTE OF INTERIOR DESIGN,33.60489335,-111.7151186,0
AMERICAN INSTITUTE OF MASSAGE THERAPY,33.71451816,-117.8501007,0
AMERICAN INSTITUTE OF MEDICAL SCIENCES & EDUCATION,40.5612358,-74.4373308,0
AMERICAN INSTITUTE OF MEDICAL TECHNOLOGY,36.09859451,-95.85659356,0
AMERICAN INSTITUTE OF TRUCKING,33.426696,-112.162607,0
AMERICAN INSTITUTE-CLIFTON,40.87343436,-74.1301713,0
AMERICAN INSTITUTE-MARGATE,26.24342891,-80.19973828,0
AMERICAN INSTITUTE-SOMERSET,40.55076509,-74.54419274,0
AMERICAN INSTITUTE-TOMS RIVER,40.04455,-74.22087602,0
AMERICAN INSTITUTE-WEST HARTFORD,41.72701628,-72.7257617,0
AMERICAN INTERCONTINENTAL UNIVERSITY,42.03328443,-88.03228575,0
AMERICAN INTERCONTINENTAL UNIVERSITY-ATLANTA,33.93612791,-84.35524301,0
AMERICAN INTERCONTINENTAL UNIVERSITY-HOUSTON,29.72822078,-95.54830932,0
AMERICAN INTERNATIONAL COLLEGE,42.11270811,-72.55850728,0
AMERICAN ISLAMIC COLLEGE,41.95486005,-87.64593011,0
AMERICAN JEWISH UNIVERSITY,34.12809905,-118.4717642,0
AMERICAN MEDICAL ACADEMY,25.66281792,-80.39389015,0
AMERICAN MEDICAL SCIENCES CENTER,34.14712062,-118.256987,0
AMERICAN MUSICAL AND DRAMATIC ACADEMY,40.77230927,-73.98763813,0
AMERICAN NATIONAL UNIVERSITY,37.29971448,-80.02359665,0
AMERICAN NATIONAL UNIVERSITY-CANTON,40.8507119,-81.43579817,0
AMERICAN NATIONAL UNIVERSITY-CINCINNATI,39.19056213,-84.47371871,0
AMERICAN NATIONAL UNIVERSITY-COLUMBUS,40.08481144,-82.94595119,0
AMERICAN NATIONAL UNIVERSITY-DAYTON,39.70013122,-84.12697318,0
AMERICAN NATIONAL UNIVERSITY-LEXINGTON,38.02694121,-84.42114428,0
AMERICAN NATIONAL UNIVERSITY-STOW,41.16084113,-81.40019081,0
AMERICAN NATIONAL UNIVERSITY-WILLOUGHBY HILLS,41.58478724,-81.48730204,0
AMERICAN NATIONAL UNIVERSITY-YOUNGSTOWN,41.14491127,-80.66389375,0
AMERICAN PUBLIC UNIVERSITY SYSTEM,39.28779431,-77.86007025,0
AMERICAN RIVER COLLEGE,38.6497342,-121.346012,0
AMERICAN SENTINEL UNIVERSITY,39.67657214,-104.8312174,0
AMERICAN TECHNICAL INSTITUTE,18.3704816,-66.1872817,0
AMERICAN TRADE SCHOOL,38.72876089,-90.3802521,0
AMERICAN UNIVERSITY,38.93694264,-77.08894726,0
AMERICAN UNIVERSITY OF HEALTH SCIENCES,33.796837,-118.17137,0
AMERICAN UNIVERSITY OF PUERTO RICO-BAYAMON,18.406139,-66.18678,0
AMERICAN UNIVERSITY OF PUERTO RICO-MANATI,18.434072,-66.478655,0
AMERITECH COLLEGE-DRAPER,40.52793248,-111.8927918,0
AMERITECH COLLEGE-PROVO,40.25679544,-111.6623955,0
AMG SCHOOL OF LICENSED PRACTICAL NURSING,40.69282444,-73.98220663,0
